,temp_f
2017-04-23 00:00:00+00:00,71.75900000000004
2017-04-24 00:00:00+00:00,63.67253124999996
2017-04-25 00:00:00+00:00,66.46037500000003
2017-04-26 00:00:00+00:00,70.27829374999999
2017-04-27 00:00:00+00:00,71.79851874999997
2017-04-28 00:00:00+00:00,72.1799062500001
2017-04-29 00:00:00+00:00,72.89620000000005
2017-04-30 00:00:00+00:00,71.28729999999999
2017-05-01 00:00:00+00:00,71.95028125000007
2017-05-02 00:00:00+00:00,72.58964375000014
2017-05-03 00:00:00+00:00,71.82509375000001
2017-05-04 00:00:00+00:00,71.48463750000013
2017-05-05 00:00:00+00:00,63.65289374999981
2017-05-06 00:00:00+00:00,59.75576249999997
2017-05-07 00:00:00+00:00,53.75034374999999
2017-05-08 00:00:00+00:00,56.61377500000003
2017-05-09 00:00:00+00:00,60.98106874999996
2017-05-10 00:00:00+00:00,60.28940625000004
2017-05-11 00:00:00+00:00,62.4478125000002
2017-05-12 00:00:00+00:00,62.45628124999976
2017-05-13 00:00:00+00:00,63.27340625
2017-05-14 00:00:00+00:00,60.73028125000001
2017-05-15 00:00:00+00:00,58.499449999999975
2017-05-16 00:00:00+00:00,58.06221875000003
2017-05-17 00:00:00+00:00,59.7656374999999
2017-05-18 00:00:00+00:00,62.34738124999989
2017-05-19 00:00:00+00:00,69.82070000000013
2017-05-20 00:00:00+00:00,76.27353125000025
2017-05-21 00:00:00+00:00,79.38651875000008
2017-05-22 00:00:00+00:00,74.54467499999976
2017-05-23 00:00:00+00:00,72.54041875000016
2017-05-24 00:00:00+00:00,67.85139375000001
2017-05-25 00:00:00+00:00,60.985212499999804
2017-05-26 00:00:00+00:00,61.55764375000004
2017-05-27 00:00:00+00:00,62.51256249999963
2017-05-28 00:00:00+00:00,66.23056249999999
2017-05-29 00:00:00+00:00,65.22821874999994
2017-05-30 00:00:00+00:00,64.67661250000023
2017-05-31 00:00:00+00:00,62.43091041666684
2017-06-01 00:00:00+00:00,65.20228958333331
2017-06-02 00:00:00+00:00,68.19040625000005
2017-06-03 00:00:00+00:00,70.32716875000013
2017-06-04 00:00:00+00:00,69.5425500000004
2017-06-05 00:00:00+00:00,67.72851875000015
2017-06-06 00:00:00+00:00,65.81059375000032
2017-06-07 00:00:00+00:00,64.72613750000019
2017-06-08 00:00:00+00:00,63.56133750000013
2017-06-09 00:00:00+00:00,65.28681875000015
2017-06-10 00:00:00+00:00,65.6421374999999
2017-06-11 00:00:00+00:00,63.320268750000075
2017-06-12 00:00:00+00:00,62.43573125000001
2017-06-13 00:00:00+00:00,66.595175
2017-06-14 00:00:00+00:00,71.92315625000019
2017-06-15 00:00:00+00:00,74.28211249999995
2017-06-16 00:00:00+00:00,76.67256250000008
2017-06-17 00:00:00+00:00,75.90753125000008
2017-06-18 00:00:00+00:00,76.04728124999994
2017-06-19 00:00:00+00:00,77.75184374999998
2017-06-20 00:00:00+00:00,77.42096249999989
2017-06-21 00:00:00+00:00,78.99198750000029
2017-06-22 00:00:00+00:00,73.39940625000017
2017-06-23 00:00:00+00:00,70.47732500000014
2017-06-24 00:00:00+00:00,70.72249999999994
2017-06-25 00:00:00+00:00,78.74936249999988
2017-06-26 00:00:00+00:00,82.97543750000006
2017-06-27 00:00:00+00:00,81.7100124999998
2017-06-28 00:00:00+00:00,73.44658125000001
2017-06-29 00:00:00+00:00,69.34567500000016
2017-06-30 00:00:00+00:00,68.51941875000014
2017-07-01 00:00:00+00:00,68.30718750000014
2017-07-02 00:00:00+00:00,69.72143749999975
2017-07-03 00:00:00+00:00,72.03176249999984
2017-07-04 00:00:00+00:00,77.01647499999999
2017-07-05 00:00:00+00:00,77.46848125000021
2017-07-06 00:00:00+00:00,79.0006687500003
2017-07-07 00:00:00+00:00,83.40911875000023
2017-07-08 00:00:00+00:00,87.36934375000016
2017-07-09 00:00:00+00:00,83.84798124999968
2017-07-10 00:00:00+00:00,82.96027500000008
2017-07-11 00:00:00+00:00,79.19954999999993
2017-07-12 00:00:00+00:00,76.35194374999998
2017-07-13 00:00:00+00:00,76.07596250000003
2017-07-14 00:00:00+00:00,75.11509374999977
2017-07-15 00:00:00+00:00,77.7630125
2017-07-16 00:00:00+00:00,78.09961250000006
2017-07-17 00:00:00+00:00,76.79209375000005
2017-07-18 00:00:00+00:00,76.32242499999995
2017-07-19 00:00:00+00:00,77.02565000000001
2017-07-20 00:00:00+00:00,77.33979999999983
2017-07-21 00:00:00+00:00,75.32253125000027
2017-07-22 00:00:00+00:00,75.84315624999995
2017-07-23 00:00:00+00:00,76.30737500000006
2017-07-24 00:00:00+00:00,73.80021875000011
2017-07-25 00:00:00+00:00,73.75271874999991
2017-07-26 00:00:00+00:00,74.15781250000012
2017-07-27 00:00:00+00:00,75.68748749999989
2017-07-28 00:00:00+00:00,75.23232500000006
2017-07-29 00:00:00+00:00,73.9252249999999
2017-07-30 00:00:00+00:00,73.79297500000024
2017-07-31 00:00:00+00:00,72.67698749999981
2017-08-01 00:00:00+00:00,77.95308125000028
2017-08-02 00:00:00+00:00,84.48937499999977
2017-08-03 00:00:00+00:00,84.14021874999986
2017-08-04 00:00:00+00:00,80.52018749999957
2017-08-05 00:00:00+00:00,75.58920000000002
2017-08-06 00:00:00+00:00,74.33568749999998
2017-08-07 00:00:00+00:00,74.61756250000028
2017-08-08 00:00:00+00:00,76.88230000000011
2017-08-09 00:00:00+00:00,76.12884375000021
2017-08-10 00:00:00+00:00,76.90729999999974
2017-08-11 00:00:00+00:00,76.87520000000036
2017-08-12 00:00:00+00:00,75.04019999999998
2017-08-13 00:00:00+00:00,73.78691874999993
2017-08-14 00:00:00+00:00,71.28640624999991
2017-08-15 00:00:00+00:00,69.00364374999985
2017-08-16 00:00:00+00:00,69.56568749999985
2017-08-17 00:00:00+00:00,71.0786249999999
2017-08-18 00:00:00+00:00,71.93718749999996
2017-08-19 00:00:00+00:00,70.75140625000009
2017-08-20 00:00:00+00:00,70.0370249999998
2017-08-21 00:00:00+00:00,70.2367374999998
2017-08-22 00:00:00+00:00,72.29200625000006
2017-08-23 00:00:00+00:00,70.89878124999989
2017-08-24 00:00:00+00:00,69.15901874999969
2017-08-25 00:00:00+00:00,70.10884999999963
2017-08-26 00:00:00+00:00,74.47823749999972
2017-08-27 00:00:00+00:00,77.4226999999998
2017-08-28 00:00:00+00:00,81.64960000000012
2017-08-29 00:00:00+00:00,86.98323124999987
2017-08-30 00:00:00+00:00,87.02266874999981
2017-08-31 00:00:00+00:00,90.8124040948274
2017-09-01 00:00:00+00:00,91.52172090517226
