,name_f
2017-05-21 00:00:00+00:00,79.38644
2017-05-22 00:00:00+00:00,74.54462000000001
2017-05-23 00:00:00+00:00,72.54050000000001
2017-05-24 00:00:00+00:00,67.85132
2017-05-25 00:00:00+00:00,60.985220000000005
2017-05-26 00:00:00+00:00,61.55762
2017-05-27 00:00:00+00:00,62.512519999999995
2017-05-28 00:00:00+00:00,66.23060000000001
2017-05-29 00:00:00+00:00,65.22818000000001
2017-05-30 00:00:00+00:00,64.67666
2017-05-31 00:00:00+00:00,62.43098
2017-06-01 00:00:00+00:00,65.20226
2017-06-02 00:00:00+00:00,68.19044
2017-06-03 00:00:00+00:00,70.32722
2017-06-04 00:00:00+00:00,69.5426
2017-06-05 00:00:00+00:00,67.72856
2017-06-06 00:00:00+00:00,65.81066
2017-06-07 00:00:00+00:00,64.72616
2017-06-08 00:00:00+00:00,63.56138
2017-06-09 00:00:00+00:00,65.28685999999999
2017-06-10 00:00:00+00:00,65.64218
2017-06-11 00:00:00+00:00,63.32017999999999
2017-06-12 00:00:00+00:00,62.43566
2017-06-13 00:00:00+00:00,66.5951
2017-06-14 00:00:00+00:00,71.9231
2017-06-15 00:00:00+00:00,74.28218000000001
2017-06-16 00:00:00+00:00,76.67258000000001
2017-06-17 00:00:00+00:00,75.90758
2017-06-18 00:00:00+00:00,76.04726
2017-06-19 00:00:00+00:00,77.75186
2017-06-20 00:00:00+00:00,77.42102
2017-06-21 00:00:00+00:00,78.99206000000001
2017-06-22 00:00:00+00:00,73.39946
2017-06-23 00:00:00+00:00,70.47734
2017-06-24 00:00:00+00:00,70.7225
2017-06-25 00:00:00+00:00,78.74942
2017-06-26 00:00:00+00:00,82.97546
2017-06-27 00:00:00+00:00,81.71006
2017-06-28 00:00:00+00:00,73.44662
2017-06-29 00:00:00+00:00,69.34568
2017-06-30 00:00:00+00:00,68.51948
2017-07-01 00:00:00+00:00,68.30726
2017-07-02 00:00:00+00:00,69.72152
2017-07-03 00:00:00+00:00,72.03182
2017-07-04 00:00:00+00:00,77.01656
2017-07-05 00:00:00+00:00,77.46854
2017-07-06 00:00:00+00:00,79.0007
2017-07-07 00:00:00+00:00,83.40908
2017-07-08 00:00:00+00:00,87.36926
2017-07-09 00:00:00+00:00,83.84792
2017-07-10 00:00:00+00:00,82.96034
2017-07-11 00:00:00+00:00,79.1996
2017-07-12 00:00:00+00:00,76.352
2017-07-13 00:00:00+00:00,76.07588
2017-07-14 00:00:00+00:00,75.11504
2017-07-15 00:00:00+00:00,77.76302
2017-07-16 00:00:00+00:00,78.09962
2017-07-17 00:00:00+00:00,76.7921
2017-07-18 00:00:00+00:00,76.32248
2017-07-19 00:00:00+00:00,77.02574
2017-07-20 00:00:00+00:00,77.33984000000001
2017-07-21 00:00:00+00:00,75.32258
2017-07-22 00:00:00+00:00,75.84314
2017-07-23 00:00:00+00:00,76.30736
2017-07-24 00:00:00+00:00,73.80014
2017-07-25 00:00:00+00:00,73.75280000000001
2017-07-26 00:00:00+00:00,74.15780000000001
2017-07-27 00:00:00+00:00,75.68744000000001
2017-07-28 00:00:00+00:00,75.23240000000001
2017-07-29 00:00:00+00:00,73.92524
2017-07-30 00:00:00+00:00,73.79294
2017-07-31 00:00:00+00:00,72.67694
2017-08-01 00:00:00+00:00,77.9531
2017-08-02 00:00:00+00:00,84.48944
2017-08-03 00:00:00+00:00,84.14024
2017-08-04 00:00:00+00:00,80.52026000000001
